Player ID,Player Name,Team,Type
1,V Kohli,Royal Challengers Bengaluru,BAT
2,RM Patidar,Royal Challengers Bengaluru,BAT
3,Yash Dayal,Royal Challengers Bengaluru,BOWL
4,JJ Bumrah,Mumbai Indians,BOWL
5,SA Yadav,Mumbai Indians,BAT
6,HH Pandya,Mumbai Indians,AR
7,RG Sharma,Mumbai Indians,BAT
8,Tilak Varma,Mumbai Indians,AR
9,H Klaasen,Sunrisers Hyderabad,BAT
10,PJ Cummins,Sunrisers Hyderabad,AR
11,Abhishek Sharma,Sunrisers Hyderabad,AR
12,TM Head,Sunrisers Hyderabad,BAT
13,Nithish Kumar Reddy,Sunrisers Hyderabad,AR
14,RD Gaikwad,Chennai Super Kings,BAT
15,RA Jadeja,Chennai Super Kings,AR
16,M Pathirana,Chennai Super Kings,BOWL
17,S Dube,Chennai Super Kings,AR
18,MS Dhoni,Chennai Super Kings,BAT
19,AR Patel,Delhi Capitals,AR
20,Kuldeep Yadav,Delhi Capitals,BOWL
21,T Stubbs,Delhi Capitals,BAT
22,Abishek Porel,Delhi Capitals,BAT
23,RK Singh,Kolkata Knight Riders,BAT
24,CV Varun,Kolkata Knight Riders,AR
25,SP Narine,Kolkata Knight Riders,BOWL
26,AD Russell,Kolkata Knight Riders,AR
27,Harshit Rana,Kolkata Knight Riders,BOWL
28,Ramandeep Singh,Kolkata Knight Riders,AR
29,SV Samson,Rajasthan Royals,BAT
30,YBK Jaiswal,Rajasthan Royals,AR
31,R Parag,Rajasthan Royals,AR
32,Dhruv Jurel,Rajasthan Royals,BAT
33,SO Hetmyer,Rajasthan Royals,BAT
34,Sandeep Sharma,Rajasthan Royals,BOWL
35,Rashid Khan,Gujarat Titans,BOWL
36,Shubman Gill,Gujarat Titans,BAT
37,B Sai Sudharsan,Gujarat Titans,AR
38,R Tewatia,Gujarat Titans,AR
39,M Shahrukh Khan,Gujarat Titans,AR
40,N Pooran,Lucknow Super Giants,BAT
41,Ravi Bishnoi,Lucknow Super Giants,BOWL
42,MP Yadav,Lucknow Super Giants,BOWL
43,Mohsin Khan,Lucknow Super Giants,BOWL
44,A Badoni,Lucknow Super Giants,AR
45,Shashank Singh,Punjab Kings,AR
46,P Simran Singh,Punjab Kings,BAT
47,JC Buttler,Gujarat Titans,BAT
48,SS Iyer,Punjab Kings,BAT
49,RR Pant,Lucknow Super Giants,BAT
50,K Rabada,Gujarat Titans,BOWL
51,Arshdeep Singh,Punjab Kings,BOWL
52,MA Starc,Delhi Capitals,BOWL
53,YS Chahal,Punjab Kings,BOWL
54,LS Livingstone,Royal Challengers Bengaluru,AR
55,DA Miller,Lucknow Super Giants,BAT
56,KL Rahul,Delhi Capitals,BAT
57,Mohammed Shami,Sunrisers Hyderabad,BOWL
58,Mohammed Siraj,Gujarat Titans,BOWL
59,HC Brook,Delhi Capitals,BAT
60,DP Conway,Chennai Super Kings,BAT
61,J Fraser-McGurk,Delhi Capitals,BAT
62,AK Markram,Lucknow Super Giants,BAT
63,D Padikkal,Royal Challengers Bengaluru,BAT
64,RA Tripathi,Chennai Super Kings,BAT
65,R Ashwin,Chennai Super Kings,AR
66,VR Iyer,Kolkata Knight Riders,AR
67,MR Marsh,Lucknow Super Giants,AR
68,GJ Maxwell,Punjab Kings,AR
69,HV Patel,Sunrisers Hyderabad,AR
70,R Ravindra,Chennai Super Kings,AR
71,MP Stoinis,Punjab Kings,AR
72,Q de Kock,Kolkata Knight Riders,BAT
73,Rahmanullah Gurbaz,Kolkata Knight Riders,BAT
74,Ishan Kishan,Sunrisers Hyderabad,BAT
75,PD Salt,Royal Challengers Bengaluru,BAT
76,JM Sharma,Royal Challengers Bengaluru,BAT
77,KK Ahmed,Chennai Super Kings,BOWL
78,TA Boult,Mumbai Indians,BOWL
79,JR Hazelwood,Royal Challengers Bengaluru,BOWL
80,Avesh Khan,Lucknow Super Giants,BOWL
81,M Prasidh Krishna,Gujarat Titans,BOWL
82,T Natarajan,Delhi Capitals,BOWL
83,A Nortje,Kolkata Knight Riders,BOWL
84,Noor Ahmad,Chennai Super Kings,BOWL
85,RD Chahar,Sunrisers Hyderabad,BOWL
86,PWH de Silva,Rajasthan Royals,BOWL
87,M Theekshana,Rajasthan Royals,BOWL
88,A Zampa,Sunrisers Hyderabad,BOWL
89,A Manohar,Sunrisers Hyderabad,BAT
90,KK Nair,Delhi Capitals,BAT
91,A Raghuvanshi,Kolkata Knight Riders,BAT
92,Atharva Taide,Sunrisers Hyderabad,BAT
93,N Wadhera,Punjab Kings,BAT
94,Harpreet Brar,Punjab Kings,AR
